■店舗名: LA BRIQUE SAPPORO Akarenga Terrace,,,
月別サマリー,,,
年月,月間合計,,
Nov-24,0,,
Dec-24,0,,
Jan-25,0,,
Feb-25,0,,
Mar-25,0,,
Apr-25,0,,
May-25,0,,
Jun-25,3607154,,
Jul-25,5264866,,
Aug-25,5866244,,
Sep-25,4499306,,
Oct-25,3493013,,
,22730583,,
カテゴリ別サマリー,,,
ブランド,ブランド合計,,
MasterCard,7264105,,
VISA,7264105,,
JCB,3745214,,
アメリカン・エキスプレス,3257583,,
DinersClub,786152,,
電子マネー,286088,,
d払い,79596,,
iD,33770,,
QUICPay,13970,,
,22730583,,
店舗合計,22,730,583
,,,
,,,
■店舗名: THE GARDEN SAPPORO                 HOKKAIDO GRILLE,,,
月別サマリー,,,
年月,月間合計,,
Nov-24,5478826,,
Dec-24,11366296,,
Jan-25,6657354,,
Feb-25,7759542,,
Mar-25,6933799,,
Apr-25,5366689,,
May-25,7362568,,
Jun-25,6725224,,
Jul-25,7849371,,
Aug-25,7525285,,
Sep-25,5869816,,
Oct-25,6784620,,
,,,
カテゴリ別サマリー,,,
ブランド,ブランド合計,,
VISA,42738647,,
JCB,16488173,,
MasterCard,11125979,,
アメリカン・エキスプレス,8100450,,
PayPay,3117807,,
ダイナースクラブ,1542005,,
d払い,1414644,,
au PAY,326200,,
iD,219310,,
WeChat Pay,193610,,
QUICPay,113680,,
Alipay+,108820,,
交通系電子マネー,73760,,
WAON,60440,,
メルペイ,32905,,
J-Coin Pay,7760,,
銀聯,7040,,
nanaco,4510,,
楽天Edy,3650,,
,,,
店舗合計,85,679,390
,,,
,,,
■店舗名: THE JEWELS,,,
月別サマリー,,,
年月,月間合計,,
Nov-24,9941664,,
Dec-24,13445520,,
Jan-25,10720910,,
Feb-25,9239845,,
Mar-25,8337150,,
Apr-25,3297830,,
May-25,11579162,,
Jun-25,11425170,,
Jul-25,12266692,,
Aug-25,13703720,,
Sep-25,12201730,,
Oct-25,12504525,,
,,,
カテゴリ別サマリー,,,
ブランド,ブランド合計,,
VISA,50216966,,
MasterCard,21354960,,
JCB,17163740,,
その他クレジット,9195360,,
アメリカン・エキスプレス,8317752,,
PayPay,7385274,,
d払い,2801454,,
QUICPay,2393460,,
WeChat Pay,2188580,,
iD,1677630,,
Alipay+,1502780,,
交通系電子マネー,1053462,,
電子マネー,996840,,
ダイナースクラブ,885510,,
銀聯,533660,,
au PAY,508770,,
WAON,283440,,
メルペイ,55650,,
楽天Edy,53170,,
J-Coin Pay,50530,,
nanaco,37470,,
DISCOVER,7460,,
,,,
店舗合計,128,663,918
,,,
,,,
■店舗名: ひつじにわいん,,,
月別サマリー,,,
年月,月間合計,,
Nov-24,0,,
Dec-24,0,,
Jan-25,0,,
Feb-25,0,,
Mar-25,0,,
Apr-25,173550,,
May-25,2811790,,
Jun-25,17755952,,
Jul-25,31721210,,
Aug-25,31937240,,
Sep-25,7155470,,
Oct-25,200900,,
,,,
カテゴリ別サマリー,,,
ブランド,ブランド合計,,
VISA,30110700,,
MasterCard,13537060,,
JCB,12772262,,
PayPay,10071360,,
アメリカン・エキスプレス,9441730,,
QUICPay,4680390,,
d払い,4011240,,
iD,2449360,,
